# Shelf — entity-resolution labels for the keyboards category.
#
# One line per (offer, seed product) pair: is this listing a purchasable variant of that product?
# Written by hand from listing titles alone — before any resolver score was looked at — over the
# live corpus crawled 2026-09-11 (7,556 offers at five retailers, 50 seed products). One
# representative variant URL stands for each distinct product title.
#
# Policy. A listing matches when it is the seed product in any purchasable form: a colourway, an
# ISO/JIS layout, a knob or barebones variant, a limited / anniversary / collab edition, a minor
# revision (KBD75 v3.1 is a KBD75 V3). It does not match when it is a sibling model in the same
# family (Q2 HE, K2 Max, GMMK 3 Pro, One 3 SF, Tinker 75), a new generation sold as such (60HE V2
# vs 60HE+, Tofu60 Redux V2), a bundle with other goods (a keycap set, a mouse), a spare part (a
# PCB module, a top case), or an accessory. Bundles and parts are labeled non-matches on purpose:
# a rollup that counted a keyboard-plus-keycaps price as the keyboard's price would be wrong.
#
# Columns (tab-separated): offer_url  title  brand  model  match  note. `title` is for the reader;
# `shelf eval resolution` keys the offer by URL and the product by brand + model.
offer_url	title	brand	model	match	note
https://www.keychron.com/products/keychron-q1-pro-qmk-via-wireless-custom-mechanical-keyboard?variant=40378290339929	Keychron Q1 Pro QMK/VIA Wireless Custom Mechanical Keyboard	Keychron	Q1 Pro	true	
https://www.keychron.com/products/keychron-q1-pro-qmk-custom-mechanical-keyboard-iso-layout-collection?variant=40441724403801	Keychron Q1 Pro QMK/VIA Wireless Custom Mechanical Keyboard ISO Layout Collection	Keychron	Q1 Pro	true	ISO layout of the same model
https://mechanicalkeyboards.com/products/keychron-q1-pro-w-knob?variant=47608102420780	Keychron Q1 Pro w/ Knob Aluminum 75% Hotswap RGB Mechanical Keyboard	Keychron	Q1 Pro	true	cross-retailer
https://www.keychron.com/products/keychron-q1-max-qmk-via-wireless-custom-mechanical-keyboard?variant=40707102769241	Keychron Q1 Max QMK/VIA Wireless Custom Mechanical Keyboard	Keychron	Q1 Pro	false	Q1 Max is a different model
https://www.keychron.com/products/keychron-q1-he-qmk-wireless-custom-keyboard?variant=40617854435417	Keychron Q1 HE QMK Wireless Custom Keyboard	Keychron	Q1 Pro	false	Q1 HE is the magnetic line
https://www.keychron.com/products/keychron-q1-ultra-8k-wireless-custom-mechanical-keyboard?variant=42837244149849	Keychron Q1 Ultra 8K Wireless Custom Mechanical Keyboard	Keychron	Q1 Pro	false	
https://www.keychron.com/products/keychron-q1?variant=39898878705753	Keychron Q1 QMK Custom Mechanical Keyboard - Version 2	Keychron	Q1 Pro	false	the plain Q1, not the Pro
https://mechanicalkeyboards.com/products/keychron-q1-v2-w-knob?variant=47607908204844	Keychron Q1 V2 w/ Knob Aluminum 75% Hotswap RGB Win + Mac Mechanical Keyboard	Keychron	Q1 Pro	false	plain Q1
https://mechanicalkeyboards.com/products/keychron-q1-pro-w-knob?variant=47608102420780	Keychron Q1 Pro w/ Knob Aluminum 75% Hotswap RGB Mechanical Keyboard	Keychron	Q2	false	
https://www.keychron.com/products/keychron-q2-qmk-custom-mechanical-keyboard?variant=39610691125337	Keychron Q2 QMK Custom Mechanical Keyboard	Keychron	Q2	true	
https://www.keychron.com/products/keychron-q2-qmk-custom-mechanical-keyboard-iso-layout-collection?variant=40312073912409	Keychron Q2 QMK Custom Mechanical Keyboard ISO Layout Collection	Keychron	Q2	true	
