# Shelf — entity-resolution labels for the monitors category (M7).
#
# One line per (offer, seed product) pair: is this listing a purchasable variant of that product?
# Written by hand from listing titles alone — before the resolver had scored a single monitor
# listing — over the storefront JSON captured 2026-09-16 (six retailers, 349 listings, 127 seed
# products). One representative variant URL stands for each distinct product title at a retailer.
#
# Policy, carried from the keyboards set. A listing matches when it is the seed product in any
# purchasable new form: a colourway, a panel finish (matte / glossy / Gorilla Glass), a "with hub"
# or "without hub" configuration, a listing that spells the model with or without its suffix
# ("45GS95QE" for "45GS95QE-B"). It does not match when it is a sibling model in the same line
# (PX279 Prime Neo vs PX279 Wave, GM27-FQS vs GM27-CFX, U3223QE vs U3225QE, Spectrum Black 27
# vs 32), used / open-box / refurbished / B-stock stock of the product (a real price, but not the
# product's), a bundle with other goods (a keyboard, a mouse, a hub, a cable — whether or not the
# word "bundle" appears), a two-monitor combo, or an accessory (a stand, an arm). A title that
# states no size for a product sold in two sizes ("Spectrum Black") is labeled a non-match for
# both: the label is what the title says, not what the labeler happens to know.
#
# Columns (tab-separated): offer_url  title  brand  model  match  note. `title` is for the reader;
# `shelf eval resolution` keys the offer by URL and the product by brand + model.
offer_url	title	brand	model	match	note
https://www.focuscamera.com/products/dell-dell-u3425we-computers-tablets-monitors?variant=42162401804336	Dell UltraSharp U3425WE 34-In. UW-QHD 21:9 Curved LED Monitor 120Hz Thunderbolt 4 Hub (Black/Silver)	Dell	U3425WE	true	
https://www.focuscamera.com/products/samsung-ls32d802uanxgo-computers-tablets-monitors?variant=42417508188208	SAMSUNG 32-Inch ViewFinity Black S8 S80UD UHD Monitor | (LS32D802UANXGO)	Samsung	S80UD	true	
https://www.focuscamera.com/products/samsung-ls34c650tanxgo-computers-tablets-monitors?variant=42378171351088	Samsung 34 inch ViewFinity S65TC Curved Ultra-WQHD Monitor with Built-in Speaker	Samsung	S65TC	true	
https://www.focuscamera.com/products/dell-u4025qw-computers-tablets-monitors?variant=42164126154800	Dell UltraSharp U4025QW 40-Inch Curved Thunderbolt Hub Monitor with 5K Display (Silver)	Dell	U4025QW	true	
https://www.focuscamera.com/products/samsung-ls49dg956snxgo-computers-tablets-monitors?variant=42259409895472	Samsung Odyssey QD-OLED G9 G95SD 49-Inch 240 Hz Curved Ultrawide Gaming Monitor	Samsung	G95SD	true	
https://www.focuscamera.com/products/samsung-ls32dm500enxgo-computers-tablets-monitors?variant=42417510776880	Samsung 32-Inch M5 (M50D) FHD 1920x1080 Flat Screen Smart Monitor	Samsung	M50D	true	
https://www.focuscamera.com/products/samsung-ls22a338nhnxza-computers-tablets-monitors?variant=42162867470384	Samsung S33A FHD 1080p Wide Viewing Angle Flat Monitor with HDMI, VA Panel, and Eye Saver (22-Inch)	Samsung	S33A	true	
https://www.focuscamera.com/products/dell-dell-u2725qe-computers-tablets-monitors?variant=42378021961776	Dell UltraSharp U2725QE 27 Inch 4K UHD IPS Monitor with 120Hz and Thunderbolt 4	Dell	U2725QE	true	
https://www.focuscamera.com/products/dell-dell-p3225qe-computers-tablets-monitors?variant=42417205182512	Dell Pro Plus P3225QE 32-inch 100Hz Class 4K UHD LED Monitor	Dell	P3225QE	true	
https://www.focuscamera.com/products/dell-dell-p2424ht-computers-tablets-monitors?variant=42417205149744	Dell P2424HT 24-Inch Multi-Touch FHD 16:9 IPS Display Monitor with USB-C Hub	Dell	P2424HT	true	
https://www.focuscamera.com/products/dell-dell-p2725qe-computers-tablets-monitors?variant=42378019995696	Dell Pro Plus P2725QE 27-Inch Class 4K UHD IPS Backlit-LED LCD USB-C Hub Monitor	Dell	P2725QE	true	
https://www.focuscamera.com/products/dell-u4025qw-kt1-computers-tablets-monitors?variant=42164127006768	Dell UltraSharp U4025QW 40-Inch Curved Thunderbolt Hub Monitor with USB Hub and HDMI Cable Bundle	Dell	U4025QW	false	bundle with a USB hub and a cable
https://www.focuscamera.com/products/asus-pa32ucdm-computers-tablets-monitors?variant=43406780039216	ASUS ProArt PA32UCDM 4K-HDR QD-OLED 31.5-inch Professional Monitor with 10-bit Color for Creators	Asus	PA32UCDM	true	
https://www.focuscamera.com/products/dell-delaw2725q-computers-tablets-monitors?variant=42657236582448	Dell Alienware AW2725Q 27-inch QD-OLED 4K UHD 240Hz G-SYNC Gaming Monitor	Dell	AW2725Q	true	
https://www.focuscamera.com/products/lg-45gs95qe-b-computers-tablets-monitors?variant=42415027486768	LG 45GS95QE Ultragear OLED Curved Gaming Monitor 45-Inch WQHD 800R 240Hz (Black)	LG	45GS95QE	true	
https://www.focuscamera.com/products/benq-america-sw272q-kt1-computers-tablets-monitors?variant=42378358784048	BenQ PhotoVue SW272Q 27-Inch 1440p HDR Monitor (Black) Bundle	BenQ	SW272Q	false	bundle
https://www.focuscamera.com/products/dell-dell-u4924dw-computers-tablets-monitors?variant=42378022780976	Dell UltraSharp U4924DW 49-Inch DQHD Curved Screen Edge WLED LCD Monitor (Black)	Dell	U4924DW	true	
https://www.focuscamera.com/products/dell-dell-u2724de-computers-tablets-monitors?variant=42378021470256	Dell UltraSharp U2724DE 27-Inch QHD Thunderbolt 4 IPS Panel Monitor	Dell	U2724DE	true	
https://www.focuscamera.com/products/dell-u2723qe-computers-tablets-monitors?variant=42164124483632	Dell U2723QE UltraSharp 27-Inch 4K USB-C Hub Monitor	Dell	U2723QE	true	
https://www.focuscamera.com/products/benq-america-benq-gw3290qt-computers-tablets-monitors?variant=42161099407408	BenQ GW3290QT 31.5 Inch 2K QHD USB-C Ergonomic Eye-Care Professional Monitor (White)	BenQ	GW3290QT	true	
https://www.focuscamera.com/products/benq-benq-pd2706u-mint-computers-tablets-monitors?variant=43583719243824	BenQ DesignVue PD2706U 27-inch 4K UHD HDR Designer Monitor with Hotkey Puck G2 (Open Box)	BenQ	PD2706U	false	open box
https://www.focuscamera.com/products/asus-va27ehe-mint-computers-tablets-monitors?variant=43554205925424	Asus VA27EHE 27-Inch 75 Hz Full HD IPS LED Eye Care Monitor (Black) (Open Box)	Asus	VA27EHE	false	open box
https://www.focuscamera.com/products/ls22a338nhnxza-mint-computers-tablets-monitors?variant=43554185510960	SAMSUNG S33A Series 22-Inch FHD 1080p Computer Monitor, HDMI, VA Panel, Wideview Screen, Eye Saver /Game Mode (Open Box)	Samsung	S33A	false	open box
https://www.focuscamera.com/products/samsung-ls49dg956snxgo-mint-computers-tablets-monitors?variant=43511847321648	Samsung Odyssey QD-OLED G9 G95SD 49-Inch 240 Hz Curved Ultrawide Gaming Monitor (Open Box)	Samsung	G95SD	false	open box
https://www.focuscamera.com/products/dell-dell-p2225h-mint-computers-tablets-monitors?variant=43511825498160	Dell P2225H 22" Class Full HD LED Monitor (Open Box)	Dell	P2225H	false	open box
https://www.focuscamera.com/products/lg-45gs95qe-b-mint-computers-tablets-monitors?variant=43511806033968	LG 45GS95QE Ultragear OLED Curved Gaming Monitor 45-Inch WQHD 800R 240Hz (Black) (Open Box)	LG	45GS95QE	false	open box
https://www.focuscamera.com/products/dell-dell-u3226q-computers-tablets-monitors?variant=43458382037040	Dell UltraSharp U3226Q QD-OLED 32 Inch 4K HDR 120 Hz Monitor with Hood	Dell	U3226Q	true	
https://www.focuscamera.com/products/asus-pa27ucge-computers-tablets-monitors?variant=43406777221168	ASUS ProArt PA27UCGE 27-inch 4K HDR Professional Monitor with 160Hz Refresh Rate and 10-Bit Color	Asus	PA27UCGE	true	
https://www.focuscamera.com/products/asus-be279qsk-computers-tablets-monitors?variant=43406770896944	ASUS BE279QSK 27-inch 1080P Full HD Video Conference Monitor with Built-in 2MP Full HD Webcam	Asus	BE279QSK	true	
